imgname,startx,starty,endx,eny,label_-1
mechanicalmeter/5C096933.jpg,209,88,239,140,9
mechanicalmeter/5C096933.jpg,271,85,301,137,6
mechanicalmeter/5C096933.jpg,336,86,365,136,9
mechanicalmeter/5C096933.jpg,401,88,429,136,3
mechanicalmeter/5C096933.jpg,464,99,492,135,3
mechanicalmeter/5C13021.jpg,118,66,147,116,1
mechanicalmeter/5C13021.jpg,175,61,206,106,3
mechanicalmeter/5C13021.jpg,228,61,265,120,10
mechanicalmeter/5C13021.jpg,288,60,317,102,1
mechanicalmeter/5C13021.jpg,346,67,383,110,10
mechanicalmeter/5C13021.jpg,405,75,438,120,-1
mechanicalmeter/5C01463.jpg,93,58,124,109,10
mechanicalmeter/5C01463.jpg,158,53,189,104,1
mechanicalmeter/5C01463.jpg,226,61,257,113,4
mechanicalmeter/5C01463.jpg,294,63,329,111,6
mechanicalmeter/5C01463.jpg,366,69,397,117,3
mechanicalmeter/5C01463.jpg,429,51,466,102,-1
mechanicalmeter/5C81277.jpg,102,45,134,98,8
mechanicalmeter/5C81277.jpg,166,37,196,93,1
mechanicalmeter/5C81277.jpg,237,36,268,92,2
mechanicalmeter/5C81277.jpg,312,36,345,90,7
mechanicalmeter/5C81277.jpg,382,35,424,84,7
mechanicalmeter/5C81277.jpg,450,41,490,90,-1
mechanicalmeter/5C311399.jpg,172,39,200,93,3
mechanicalmeter/5C311399.jpg,234,36,261,89,1
mechanicalmeter/5C311399.jpg,298,32,327,86,1
mechanicalmeter/5C311399.jpg,362,31,397,82,3
mechanicalmeter/5C311399.jpg,426,32,456,81,9
mechanicalmeter/5C311399.jpg,486,38,518,79,9
mechanicalmeter/5C029299.jpg,184,7,213,53,10
mechanicalmeter/5C029299.jpg,244,2,276,53,2
mechanicalmeter/5C029299.jpg,308,4,337,55,9
mechanicalmeter/5C029299.jpg,368,9,404,63,2
mechanicalmeter/5C029299.jpg,428,8,467,61,9
mechanicalmeter/5C029299.jpg,481,16,523,63,9
mechanicalmeter/5C60836.jpg,146,100,176,150,6
mechanicalmeter/5C60836.jpg,193,99,231,145,10
mechanicalmeter/5C60836.jpg,249,99,282,152,8
mechanicalmeter/5C60836.jpg,309,99,336,151,3
mechanicalmeter/5C60836.jpg,362,101,393,154,6
mechanicalmeter/5C60836.jpg,410,107,448,158,-1
mechanicalmeter/5C075339.jpg,225,58,255,105,10
mechanicalmeter/5C075339.jpg,288,56,318,104,7
mechanicalmeter/5C075339.jpg,347,56,382,104,5
mechanicalmeter/5C075339.jpg,409,59,445,105,3
mechanicalmeter/5C075339.jpg,473,53,505,102,3
mechanicalmeter/5C075339.jpg,528,56,565,107,9
mechanicalmeter/5C118452.jpg,148,118,174,167,1
mechanicalmeter/5C118452.jpg,213,115,235,168,1
mechanicalmeter/5C118452.jpg,276,119,306,179,8
mechanicalmeter/5C118452.jpg,344,126,373,176,4
mechanicalmeter/5C118452.jpg,405,121,437,178,5
mechanicalmeter/5C118452.jpg,475,137,500,178,2
mechanicalmeter/5C21160.jpg,58,138,91,196,2
mechanicalmeter/5C21160.jpg,116,136,150,187,1
mechanicalmeter/5C21160.jpg,183,131,218,193,1
mechanicalmeter/5C21160.jpg,255,140,288,194,6
mechanicalmeter/5C21160.jpg,320,141,357,194,10
mechanicalmeter/5C21160.jpg,377,138,441,209,-1
mechanicalmeter/5C91172.jpg,125,78,155,126,9
mechanicalmeter/5C91172.jpg,179,79,212,126,1
mechanicalmeter/5C91172.jpg,238,75,270,127,1
mechanicalmeter/5C91172.jpg,297,83,330,132,7
mechanicalmeter/5C91172.jpg,356,80,389,133,2
mechanicalmeter/5C91172.jpg,415,73,465,130,-1
mechanicalmeter/5C1092.jpg,97,40,136,96,1
mechanicalmeter/5C1092.jpg,161,42,196,100,10
mechanicalmeter/5C1092.jpg,233,46,268,101,9
mechanicalmeter/5C1092.jpg,302,46,341,104,2
mechanicalmeter/5C1092.jpg,370,47,406,104,5
mechanicalmeter/5C1092.jpg,443,48,483,110,-1
mechanicalmeter/2211_35.jpg,108,111,173,178,9
mechanicalmeter/2211_35.jpg,207,106,263,176,1
mechanicalmeter/2211_35.jpg,292,109,362,178,2
mechanicalmeter/2211_35.jpg,396,109,474,181,2
mechanicalmeter/2211_35.jpg,494,98,568,168,4
mechanicalmeter/5C34916.jpg,117,137,155,192,3
mechanicalmeter/5C34916.jpg,191,132,233,189,4
mechanicalmeter/5C34916.jpg,264,136,311,189,9
mechanicalmeter/5C34916.jpg,348,129,382,186,1
mechanicalmeter/5C34916.jpg,422,120,472,175,6
mechanicalmeter/5C659903.jpg,136,27,161,73,6
mechanicalmeter/5C659903.jpg,191,19,223,70,5
mechanicalmeter/5C659903.jpg,253,17,283,71,9
mechanicalmeter/5C659903.jpg,317,18,348,71,9
mechanicalmeter/5C659903.jpg,380,20,410,71,10
mechanicalmeter/5C659903.jpg,437,28,475,79,3
mechanicalmeter/5C737410.jpg,159,24,188,75,7
mechanicalmeter/5C737410.jpg,216,15,246,66,3
mechanicalmeter/5C737410.jpg,276,9,308,64,7
mechanicalmeter/5C737410.jpg,342,10,374,67,4
mechanicalmeter/5C737410.jpg,404,9,435,64,1
mechanicalmeter/5C737410.jpg,461,16,492,62,10
mechanicalmeter/5C075634.jpg,225,58,255,107,10
mechanicalmeter/5C075634.jpg,287,57,319,103,7
mechanicalmeter/5C075634.jpg,350,54,381,102,5
mechanicalmeter/5C075634.jpg,413,57,444,104,6
mechanicalmeter/5C075634.jpg,476,59,501,103,3
mechanicalmeter/5C075634.jpg,533,56,562,107,4
mechanicalmeter/5C025883.jpg,157,193,183,249,10
mechanicalmeter/5C025883.jpg,219,192,248,248,2
mechanicalmeter/5C025883.jpg,280,192,310,249,5
mechanicalmeter/5C025883.jpg,346,197,372,252,8
mechanicalmeter/5C025883.jpg,405,195,444,253,8
mechanicalmeter/5C025883.jpg,469,197,517,250,3
mechanicalmeter/5C89199.jpg,124,76,154,128,8
mechanicalmeter/5C89199.jpg,178,78,209,127,9
mechanicalmeter/5C89199.jpg,238,71,271,124,1
mechanicalmeter/5C89199.jpg,298,78,329,133,9
mechanicalmeter/5C89199.jpg,356,81,387,133,9
mechanicalmeter/5C89199.jpg,414,77,460,133,-1
mechanicalmeter/5C012441.jpg,126,181,155,239,10
mechanicalmeter/5C012441.jpg,185,179,221,242,1
mechanicalmeter/5C012441.jpg,254,179,292,237,2
mechanicalmeter/5C012441.jpg,318,188,353,244,4
mechanicalmeter/5C012441.jpg,383,192,418,243,4
mechanicalmeter/5C012441.jpg,445,184,483,244,1
mechanicalmeter/2202_53.jpg,111,112,165,181,9
mechanicalmeter/2202_53.jpg,203,109,261,181,1
mechanicalmeter/2202_53.jpg,299,115,361,179,2
mechanicalmeter/2202_53.jpg,401,111,461,177,10
mechanicalmeter/2202_53.jpg,499,108,566,173,5
mechanicalmeter/5C00458.jpg,83,122,113,182,10
mechanicalmeter/5C00458.jpg,143,119,174,179,10
mechanicalmeter/5C00458.jpg,212,112,251,178,4
mechanicalmeter/5C00458.jpg,288,114,327,175,5
mechanicalmeter/5C00458.jpg,364,111,399,177,8
mechanicalmeter/5C00458.jpg,413,180,450,208,11
mechanicalmeter/5C00458.jpg,437,115,476,176,-1
mechanicalmeter/5C00458.jpg,504,116,550,174,-1
mechanicalmeter/5C00458.jpg,569,120,610,178,-1
mechanicalmeter/5C274909.jpg,145,114,176,172,2
mechanicalmeter/5C274909.jpg,203,112,236,164,7
mechanicalmeter/5C274909.jpg,267,112,301,166,4
mechanicalmeter/5C274909.jpg,328,109,363,167,9
mechanicalmeter/5C274909.jpg,391,107,422,156,10
mechanicalmeter/5C274909.jpg,449,112,490,166,9
mechanicalmeter/5C075604.jpg,225,58,255,105,10
mechanicalmeter/5C075604.jpg,287,55,317,104,7
mechanicalmeter/5C075604.jpg,349,54,382,104,5
mechanicalmeter/5C075604.jpg,413,59,444,106,6
mechanicalmeter/5C075604.jpg,476,54,507,107,10
mechanicalmeter/5C075604.jpg,530,59,562,102,4
mechanicalmeter/5C86690.jpg,139,58,168,101,8
mechanicalmeter/5C86690.jpg,188,53,219,100,6
mechanicalmeter/5C86690.jpg,244,53,274,100,6
mechanicalmeter/5C86690.jpg,294,50,324,97,9
mechanicalmeter/5C86690.jpg,348,49,383,94,10
mechanicalmeter/5C86690.jpg,399,48,441,93,-1
mechanicalmeter/5C23938.jpg,122,76,168,126,2
mechanicalmeter/5C23938.jpg,189,75,226,126,3
mechanicalmeter/5C23938.jpg,254,69,289,124,9
mechanicalmeter/5C23938.jpg,320,73,350,127,3
mechanicalmeter/5C23938.jpg,384,72,415,126,8
mechanicalmeter/5C23938.jpg,416,149,439,180,11
mechanicalmeter/5C23938.jpg,440,57,482,129,-1
mechanicalmeter/5C274124.jpg,147,115,178,169,2
mechanicalmeter/5C274124.jpg,205,111,238,166,7
mechanicalmeter/5C274124.jpg,268,109,301,166,4
mechanicalmeter/5C274124.jpg,329,109,364,165,1
mechanicalmeter/5C274124.jpg,394,108,427,162,2
mechanicalmeter/5C274124.jpg,453,115,499,171,5
mechanicalmeter/5C074698.jpg,225,58,255,109,10
mechanicalmeter/5C074698.jpg,287,58,314,103,7
mechanicalmeter/5C074698.jpg,349,54,380,105,4
mechanicalmeter/5C074698.jpg,413,50,444,102,6
mechanicalmeter/5C074698.jpg,474,55,502,106,9
mechanicalmeter/5C074698.jpg,527,56,557,97,8
mechanicalmeter/5C074290.jpg,226,59,256,107,10
mechanicalmeter/5C074290.jpg,288,54,317,102,7
mechanicalmeter/5C074290.jpg,349,56,380,104,4
mechanicalmeter/5C074290.jpg,411,53,441,105,2
mechanicalmeter/5C074290.jpg,473,53,504,105,9
mechanicalmeter/5C074290.jpg,527,58,560,107,10
mechanicalmeter/5C13303.jpg,117,94,147,147,1
mechanicalmeter/5C13303.jpg,177,90,208,158,3
mechanicalmeter/5C13303.jpg,245,91,278,152,3
mechanicalmeter/5C13303.jpg,313,87,344,148,10
mechanicalmeter/5C13303.jpg,379,94,419,147,3
mechanicalmeter/5C13303.jpg,437,174,462,203,11
mechanicalmeter/5C13303.jpg,450,89,493,151,-1
mechanicalmeter/5C10714.jpg,151,171,181,221,1
mechanicalmeter/5C10714.jpg,219,166,268,220,10
mechanicalmeter/5C10714.jpg,296,169,343,222,7
mechanicalmeter/5C10714.jpg,380,169,417,227,1
mechanicalmeter/5C10714.jpg,454,166,494,218,4
mechanicalmeter/5C661501.jpg,136,26,161,72,6
mechanicalmeter/5C661501.jpg,196,20,223,71,6
mechanicalmeter/5C661501.jpg,255,19,283,70,1
mechanicalmeter/5C661501.jpg,318,18,349,71,5
mechanicalmeter/5C661501.jpg,380,20,410,72,10
mechanicalmeter/5C661501.jpg,440,24,481,75,1
mechanicalmeter/5C00505.jpg,125,125,155,175,10
mechanicalmeter/5C00505.jpg,191,122,224,175,10
mechanicalmeter/5C00505.jpg,260,122,291,174,5
mechanicalmeter/5C00505.jpg,328,120,362,174,10
mechanicalmeter/5C00505.jpg,393,117,428,174,5
mechanicalmeter/5C00505.jpg,451,113,508,175,-1
mechanicalmeter/5C34710.jpg,130,43,176,97,3
mechanicalmeter/5C34710.jpg,210,42,250,95,4
mechanicalmeter/5C34710.jpg,282,43,328,96,7
mechanicalmeter/5C34710.jpg,364,41,400,98,1
mechanicalmeter/5C34710.jpg,438,45,484,98,10
mechanicalmeter/5C00113.jpg,138,69,166,130,10
mechanicalmeter/5C00113.jpg,195,67,231,125,10
mechanicalmeter/5C00113.jpg,256,59,294,125,1
mechanicalmeter/5C00113.jpg,319,61,352,119,1
mechanicalmeter/5C00113.jpg,385,57,422,119,3
mechanicalmeter/5C00113.jpg,443,60,494,124,-1
mechanicalmeter/5C017729.jpg,148,157,181,214,10
mechanicalmeter/5C017729.jpg,209,154,246,213,1
mechanicalmeter/5C017729.jpg,270,154,308,209,7
mechanicalmeter/5C017729.jpg,332,152,367,208,7
mechanicalmeter/5C017729.jpg,395,149,435,205,2
mechanicalmeter/5C017729.jpg,458,154,500,208,9
mechanicalmeter/5C026409.jpg,149,191,188,253,10
mechanicalmeter/5C026409.jpg,217,192,248,248,2
mechanicalmeter/5C026409.jpg,279,198,310,253,6
mechanicalmeter/5C026409.jpg,348,197,377,253,4
mechanicalmeter/5C026409.jpg,404,190,441,249,10
mechanicalmeter/5C026409.jpg,469,195,520,248,9
mechanicalmeter/046652.jpg,135,120,173,185,10
mechanicalmeter/046652.jpg,195,121,233,181,4
mechanicalmeter/046652.jpg,254,120,293,184,6
mechanicalmeter/046652.jpg,316,120,354,185,6
mechanicalmeter/046652.jpg,379,121,417,178,5
mechanicalmeter/046652.jpg,440,120,477,185,2
mechanicalmeter/5C325243.jpg,121,70,165,139,3
mechanicalmeter/5C325243.jpg,191,64,236,137,2
mechanicalmeter/5C325243.jpg,268,64,313,136,5
mechanicalmeter/5C325243.jpg,351,67,393,135,2
mechanicalmeter/5C325243.jpg,426,71,467,140,4
mechanicalmeter/5C325243.jpg,498,79,547,147,2
mechanicalmeter/5C074148.jpg,224,59,255,107,10
mechanicalmeter/5C074148.jpg,287,53,318,101,7
mechanicalmeter/5C074148.jpg,349,57,380,104,4
mechanicalmeter/5C074148.jpg,407,58,447,104,1
mechanicalmeter/5C074148.jpg,471,61,506,107,4
mechanicalmeter/5C074148.jpg,528,58,565,107,8
mechanicalmeter/5C13072.jpg,107,93,153,155,1
mechanicalmeter/5C13072.jpg,177,95,213,157,3
mechanicalmeter/5C13072.jpg,244,88,278,149,10
mechanicalmeter/5C13072.jpg,310,87,350,155,7
mechanicalmeter/5C13072.jpg,377,92,417,157,2
mechanicalmeter/5C13072.jpg,438,178,459,205,11
mechanicalmeter/5C13072.jpg,445,83,497,163,-1
mechanicalmeter/5C91285.jpg,66,49,119,119,9
mechanicalmeter/5C91285.jpg,164,42,213,115,1
mechanicalmeter/5C91285.jpg,272,41,326,112,2
mechanicalmeter/5C91285.jpg,380,43,436,116,8
mechanicalmeter/5C91285.jpg,483,42,542,121,5
mechanicalmeter/5C076346.jpg,224,58,255,109,10
mechanicalmeter/5C076346.jpg,291,55,317,100,7
mechanicalmeter/5C076346.jpg,350,55,381,106,6
mechanicalmeter/5C076346.jpg,414,57,438,102,3
mechanicalmeter/5C076346.jpg,477,63,501,104,4
mechanicalmeter/5C076346.jpg,531,58,554,105,6
mechanicalmeter/5C0002.jpg,0,163,50,244,10
mechanicalmeter/5C0002.jpg,76,162,141,256,10
mechanicalmeter/5C0002.jpg,196,159,267,258,10
mechanicalmeter/5C0002.jpg,329,171,396,267,10
mechanicalmeter/5C0002.jpg,415,288,455,326,11
mechanicalmeter/5C0002.jpg,444,183,513,274,-1
mechanicalmeter/5C0002.jpg,542,195,613,284,-1
mechanicalmeter/5C10711.jpg,148,163,185,216,1
mechanicalmeter/5C10711.jpg,222,166,268,219,10
mechanicalmeter/5C10711.jpg,299,170,345,222,7
mechanicalmeter/5C10711.jpg,374,168,425,223,1
mechanicalmeter/5C10711.jpg,462,165,506,218,1
mechanicalmeter/5C0921.jpg,182,145,230,203,10
mechanicalmeter/5C0921.jpg,256,147,303,201,9
mechanicalmeter/5C0921.jpg,330,148,380,201,2
mechanicalmeter/5C0921.jpg,410,150,448,203,1
mechanicalmeter/5C0921.jpg,466,207,486,227,11
mechanicalmeter/5C0921.jpg,483,146,533,212,-1
mechanicalmeter/5C00698.jpg,83,124,117,180,10
mechanicalmeter/5C00698.jpg,146,118,176,178,10
mechanicalmeter/5C00698.jpg,213,110,248,171,6
mechanicalmeter/5C00698.jpg,291,112,325,173,9
mechanicalmeter/5C00698.jpg,367,115,403,172,8
mechanicalmeter/5C00698.jpg,419,178,443,203,11
mechanicalmeter/5C00698.jpg,442,115,476,174,-1
mechanicalmeter/5C00698.jpg,507,120,546,174,-1
mechanicalmeter/5C00698.jpg,567,112,610,178,-1
mechanicalmeter/5C115446.jpg,151,119,177,168,1
mechanicalmeter/5C115446.jpg,213,121,237,172,1
mechanicalmeter/5C115446.jpg,275,119,306,179,5
mechanicalmeter/5C115446.jpg,343,125,373,180,4
mechanicalmeter/5C115446.jpg,411,123,437,176,4
mechanicalmeter/5C115446.jpg,473,114,505,160,6
mechanicalmeter/5C006984.jpg,161,66,192,123,10
mechanicalmeter/5C006984.jpg,228,65,262,122,10
mechanicalmeter/5C006984.jpg,289,65,321,122,6
mechanicalmeter/5C006984.jpg,355,69,387,124,9
mechanicalmeter/5C006984.jpg,415,70,451,119,8
mechanicalmeter/5C006984.jpg,480,70,511,123,4
mechanicalmeter/2212_06.jpg,114,112,166,175,9
mechanicalmeter/2212_06.jpg,202,107,263,180,1
mechanicalmeter/2212_06.jpg,301,110,365,174,2
mechanicalmeter/2212_06.jpg,399,112,466,177,2
mechanicalmeter/2212_06.jpg,503,104,571,177,5
mechanicalmeter/5C025438.jpg,98,84,128,150,10
mechanicalmeter/5C025438.jpg,174,80,213,153,2
mechanicalmeter/5C025438.jpg,252,86,290,145,5
mechanicalmeter/5C025438.jpg,334,80,369,143,4
mechanicalmeter/5C025438.jpg,413,89,453,143,3
mechanicalmeter/5C025438.jpg,488,86,536,153,8
mechanicalmeter/91199_5.jpg,85,84,136,152,9
mechanicalmeter/91199_5.jpg,179,78,230,147,1
mechanicalmeter/91199_5.jpg,279,68,332,140,1
mechanicalmeter/91199_5.jpg,377,71,442,137,9
mechanicalmeter/91199_5.jpg,481,74,546,143,9
mechanicalmeter/5C51814.jpg,158,95,191,144,5
mechanicalmeter/5C51814.jpg,216,88,248,140,1
mechanicalmeter/5C51814.jpg,275,99,306,148,8
mechanicalmeter/5C51814.jpg,334,96,367,142,1
mechanicalmeter/5C51814.jpg,394,97,424,143,4
mechanicalmeter/5C51814.jpg,446,168,461,184,11
mechanicalmeter/5C51814.jpg,450,84,497,140,-1
mechanicalmeter/5C041470.jpg,150,90,183,138,10
mechanicalmeter/5C041470.jpg,217,89,242,138,4
mechanicalmeter/5C041470.jpg,276,86,305,133,1
mechanicalmeter/5C041470.jpg,345,93,372,136,4
mechanicalmeter/5C041470.jpg,401,91,436,140,7
mechanicalmeter/5C041470.jpg,464,86,494,127,10
mechanicalmeter/5C82509.jpg,127,80,159,136,8
mechanicalmeter/5C82509.jpg,184,74,218,130,2
mechanicalmeter/5C82509.jpg,240,76,273,129,5
mechanicalmeter/5C82509.jpg,301,73,333,127,10
mechanicalmeter/5C82509.jpg,360,77,396,133,9
mechanicalmeter/5C82509.jpg,419,79,457,128,-1
mechanicalmeter/5C00947.jpg,146,95,176,148,10
mechanicalmeter/5C00947.jpg,206,93,236,144,10
mechanicalmeter/5C00947.jpg,266,96,297,144,9
mechanicalmeter/5C00947.jpg,329,93,360,144,4
mechanicalmeter/5C00947.jpg,394,95,423,144,7
mechanicalmeter/5C00947.jpg,431,171,454,201,11
mechanicalmeter/5C00947.jpg,454,84,484,136,-1
mechanicalmeter/5C92103.jpg,128,80,159,131,9
mechanicalmeter/5C92103.jpg,181,74,216,130,2
mechanicalmeter/5C92103.jpg,242,73,273,122,1
mechanicalmeter/5C92103.jpg,301,73,333,126,10
mechanicalmeter/5C92103.jpg,362,76,394,128,3
mechanicalmeter/5C92103.jpg,418,75,459,123,-1
mechanicalmeter/5C013686.jpg,205,84,246,137,10
mechanicalmeter/5C013686.jpg,285,89,321,140,1
mechanicalmeter/5C013686.jpg,362,94,400,151,3
mechanicalmeter/5C013686.jpg,436,104,474,160,6
mechanicalmeter/5C013686.jpg,509,117,543,172,8
mechanicalmeter/5C013686.jpg,569,122,616,186,6
mechanicalmeter/5C19203.jpg,144,72,173,122,1
mechanicalmeter/5C19203.jpg,203,75,235,119,9
mechanicalmeter/5C19203.jpg,262,77,297,124,2
mechanicalmeter/5C19203.jpg,326,75,358,126,10
mechanicalmeter/5C19203.jpg,391,81,422,134,3
mechanicalmeter/5C19203.jpg,446,74,483,122,-1
mechanicalmeter/5C35831.jpg,145,96,176,148,3
mechanicalmeter/5C35831.jpg,201,102,234,148,5
mechanicalmeter/5C35831.jpg,259,102,291,150,8
mechanicalmeter/5C35831.jpg,319,100,352,149,3
mechanicalmeter/5C35831.jpg,377,103,407,144,1
mechanicalmeter/5C35831.jpg,428,163,448,186,11
mechanicalmeter/5C35831.jpg,436,100,475,148,-1
mechanicalmeter/2205_17.jpg,113,112,168,178,9
mechanicalmeter/2205_17.jpg,205,109,256,179,1
mechanicalmeter/2205_17.jpg,304,111,360,177,2
mechanicalmeter/2205_17.jpg,398,109,450,181,1
mechanicalmeter/2205_17.jpg,504,123,552,179,1
mechanicalmeter/5C18574.jpg,159,98,189,147,1
mechanicalmeter/5C18574.jpg,218,95,246,147,8
mechanicalmeter/5C18574.jpg,277,91,311,147,5
mechanicalmeter/5C18574.jpg,337,90,375,141,7
mechanicalmeter/5C18574.jpg,404,91,440,145,4
mechanicalmeter/5C18574.jpg,435,165,460,194,11
mechanicalmeter/5C18574.jpg,458,71,503,152,-1
mechanicalmeter/5C20970.jpg,59,139,89,195,2
mechanicalmeter/5C20970.jpg,117,131,148,188,10
mechanicalmeter/5C20970.jpg,184,131,221,191,9
mechanicalmeter/5C20970.jpg,252,143,287,194,7
mechanicalmeter/5C20970.jpg,322,138,357,195,10
mechanicalmeter/5C20970.jpg,388,119,432,193,-1
mechanicalmeter/5C075982.jpg,225,58,255,107,10
mechanicalmeter/5C075982.jpg,285,55,316,106,7
mechanicalmeter/5C075982.jpg,349,52,381,104,5
mechanicalmeter/5C075982.jpg,412,56,442,105,9
mechanicalmeter/5C075982.jpg,475,58,502,107,8
mechanicalmeter/5C075982.jpg,530,56,564,104,2
mechanicalmeter/5C096850.jpg,149,89,176,141,10
mechanicalmeter/5C096850.jpg,210,89,236,140,9
mechanicalmeter/5C096850.jpg,271,85,301,137,6
mechanicalmeter/5C096850.jpg,335,86,365,137,8
mechanicalmeter/5C096850.jpg,402,81,428,132,5
mechanicalmeter/5C096850.jpg,463,82,498,133,10
mechanicalmeter/5C71044.jpg,112,14,155,72,7
mechanicalmeter/5C71044.jpg,170,11,201,62,1
mechanicalmeter/5C71044.jpg,227,6,261,58,10
mechanicalmeter/5C71044.jpg,293,4,324,54,4
mechanicalmeter/5C71044.jpg,358,2,389,48,4
mechanicalmeter/5C71044.jpg,420,5,468,62,-1
mechanicalmeter/5C81810.jpg,104,47,135,102,8
mechanicalmeter/5C81810.jpg,170,39,203,98,1
mechanicalmeter/5C81810.jpg,237,37,271,94,8
mechanicalmeter/5C81810.jpg,310,40,340,93,1
mechanicalmeter/5C81810.jpg,379,39,415,98,10
mechanicalmeter/5C81810.jpg,442,48,494,103,-1
